Role,Company,Location,Date_Posted,Apply_Link
Data Analyst,KPMG India,"Bengaluru, Karnataka, India",4 days ago,https://in.linkedin.com/jobs/view/data-analyst-at-kpmg-india-4323182631?position=1&pageNum=0&refId=WdapTpQ0ITaDeI8Tj0BCbg%3D%3D&trackingId=%2FAbI%2BT7QJzZCSHtgznat3Q%3D%3D
Quantitative Researcher,Meril,"Bengaluru, Karnataka, India",3 days ago,https://in.linkedin.com/jobs/view/quantitative-researcher-at-meril-4336820573?position=2&pageNum=0&refId=WdapTpQ0ITaDeI8Tj0BCbg%3D%3D&trackingId=sVwvkbdxfiqh0B41sf1YDg%3D%3D
Data Analyst [T500-20905],Delta Air Lines,"Bengaluru, Karnataka, India",1 week ago,https://in.linkedin.com/jobs/view/data-analyst-t500-20905-at-delta-air-lines-4315163413?position=3&pageNum=0&refId=WdapTpQ0ITaDeI8Tj0BCbg%3D%3D&trackingId=bKjYf0c2WhyL3cAb5lgssA%3D%3D
Data Analyst,Nestaway,"Bengaluru, Karnataka, India",3 days ago,https://in.linkedin.com/jobs/view/data-analyst-at-nestaway-4323172884?position=4&pageNum=0&refId=WdapTpQ0ITaDeI8Tj0BCbg%3D%3D&trackingId=%2B77fHlwHvs7vw1j8nbzEew%3D%3D
Business Associate (Analytics),Swiggy,"Bengaluru, Karnataka, India",Recent,https://in.linkedin.com/jobs/view/business-associate-analytics-at-swiggy-4323598005?position=5&pageNum=0&refId=WdapTpQ0ITaDeI8Tj0BCbg%3D%3D&trackingId=hRia1BB0lq%2FhFLMWsAsqiw%3D%3D
Data Analyst,EaseMyTrip.com,"Haryana, India",1 day ago,https://in.linkedin.com/jobs/view/data-analyst-at-easemytrip-com-4347002051?position=6&pageNum=0&refId=WdapTpQ0ITaDeI8Tj0BCbg%3D%3D&trackingId=urn%2BUMvYnhEBWNse76Jmjg%3D%3D
Insights and Visualization,Infosys,"Bengaluru East, Karnataka, India",1 week ago,https://in.linkedin.com/jobs/view/insights-and-visualization-at-infosys-4322584847?position=7&pageNum=0&refId=WdapTpQ0ITaDeI8Tj0BCbg%3D%3D&trackingId=GcenoGyv2k62YeQifXpCIA%3D%3D
Data Analyst,Persistent Systems,"Mumbai, Maharashtra, India",4 days ago,https://in.linkedin.com/jobs/view/data-analyst-at-persistent-systems-4341161525?position=8&pageNum=0&refId=WdapTpQ0ITaDeI8Tj0BCbg%3D%3D&trackingId=PuUfDmH94BK%2BRWQ2X4vSGA%3D%3D
Data Analyst,Chevron,"Bengaluru, Karnataka, India",1 day ago,https://in.linkedin.com/jobs/view/data-analyst-at-chevron-4341962225?position=9&pageNum=0&refId=WdapTpQ0ITaDeI8Tj0BCbg%3D%3D&trackingId=Sm0jIl4KATIQOs%2BUL48hMQ%3D%3D
Data Analyst,Tata Consultancy Services,"Hyderabad, Telangana, India",6 days ago,https://in.linkedin.com/jobs/view/data-analyst-at-tata-consultancy-services-4322750798?position=10&pageNum=0&refId=WdapTpQ0ITaDeI8Tj0BCbg%3D%3D&trackingId=e%2FcWP0OeTBSMlTNwk%2B%2Bd5A%3D%3D
Data Analyst,Creditsafe Technology,"Hyderabad, Telangana, India",1 week ago,https://in.linkedin.com/jobs/view/data-analyst-at-creditsafe-technology-4340463246?position=1&pageNum=2&refId=MVEqK4iRTQF%2BRv7OzqZ%2Bag%3D%3D&trackingId=Is3zPJPxt92zoSuycavy8A%3D%3D
Analyst - Data Science,American Express,"Gurugram, Haryana, India",4 days ago,https://in.linkedin.com/jobs/view/analyst-data-science-at-american-express-4336513766?position=2&pageNum=2&refId=MVEqK4iRTQF%2BRv7OzqZ%2Bag%3D%3D&trackingId=yktg%2BlqYN0FWr9LRiA11fA%3D%3D
Data Analyst,Newsweek,India,1 day ago,https://in.linkedin.com/jobs/view/data-analyst-at-newsweek-4319536475?position=3&pageNum=2&refId=MVEqK4iRTQF%2BRv7OzqZ%2Bag%3D%3D&trackingId=z1D9anpCrNi4aii0ILAUEw%3D%3D
Data Analyst,Randstad,"Bengaluru, Karnataka, India",1 week ago,https://in.linkedin.com/jobs/view/data-analyst-at-randstad-4282213046?position=4&pageNum=2&refId=MVEqK4iRTQF%2BRv7OzqZ%2Bag%3D%3D&trackingId=KE4G5VxKVE7uw9Mfz1KIKQ%3D%3D
Analytics Consultant,EXL,"Gurugram, Haryana, India",1 day ago,https://in.linkedin.com/jobs/view/analytics-consultant-at-exl-4341842345?position=5&pageNum=2&refId=MVEqK4iRTQF%2BRv7OzqZ%2Bag%3D%3D&trackingId=YoQNRbBOXwHS93zqiwfIRA%3D%3D
Data Analyst - Car Wash,Circle K,"Gurugram, Haryana, India",3 days ago,https://in.linkedin.com/jobs/view/data-analyst-car-wash-at-circle-k-4322984599?position=6&pageNum=2&refId=MVEqK4iRTQF%2BRv7OzqZ%2Bag%3D%3D&trackingId=RTJExVBrOwUO5HsBvU6yJw%3D%3D
Data Analyst-Application Development-Data Visualization,EXL,"Gurugram, Haryana, India",4 days ago,https://in.linkedin.com/jobs/view/data-analyst-application-development-data-visualization-at-exl-4333066834?position=7&pageNum=2&refId=MVEqK4iRTQF%2BRv7OzqZ%2Bag%3D%3D&trackingId=ay%2FGbZj%2Fxnx%2F240LM5Mw%2FQ%3D%3D
Data Analyst,Comviva,"Gurugram, Haryana, India",1 week ago,https://in.linkedin.com/jobs/view/data-analyst-at-comviva-4340403021?position=8&pageNum=2&refId=MVEqK4iRTQF%2BRv7OzqZ%2Bag%3D%3D&trackingId=fwmqk3znOJU1LNH7Vykz5A%3D%3D
Associate Data Analyst,Gartner,"Gurgaon, Haryana, India",2 days ago,https://in.linkedin.com/jobs/view/associate-data-analyst-at-gartner-4323437709?position=9&pageNum=2&refId=MVEqK4iRTQF%2BRv7OzqZ%2Bag%3D%3D&trackingId=hYPSG63NI0LApjT4xzXDJg%3D%3D
"Associate Data Analyst – Looker, PowerBI, DAX, SQL, Python, R, SSAS, C#, .NET, GCP",UPS,"Chennai, Tamil Nadu, India",3 days ago,https://in.linkedin.com/jobs/view/associate-data-analyst-%E2%80%93-looker-powerbi-dax-sql-python-r-ssas-c%23-net-gcp-at-ups-4323144478?position=10&pageNum=2&refId=MVEqK4iRTQF%2BRv7OzqZ%2Bag%3D%3D&trackingId=7hA2gtoQ%2Fw0QO8aM9U7LBA%3D%3D
"Data Analyst (Marketing Analytics, Bangkok Based, Relocation provided)",Agoda,Mumbai Metropolitan Region,6 days ago,https://in.linkedin.com/jobs/view/data-analyst-marketing-analytics-bangkok-based-relocation-provided-at-agoda-4299779220?position=1&pageNum=5&refId=TEIKJ%2BGBSlZq0i2Q%2BWWWsw%3D%3D&trackingId=4KkUOrPQIu1UqHSbkUJXYg%3D%3D
Data Analyst,BETSOL,"Bengaluru, Karnataka, India",4 days ago,https://in.linkedin.com/jobs/view/data-analyst-at-betsol-4323034706?position=2&pageNum=5&refId=TEIKJ%2BGBSlZq0i2Q%2BWWWsw%3D%3D&trackingId=ov6uXESpSnmHxA5Dt203nQ%3D%3D
Data Analyst - Fresher,ContraVault AI,India,1 week ago,https://in.linkedin.com/jobs/view/data-analyst-fresher-at-contravault-ai-4322196195?position=3&pageNum=5&refId=TEIKJ%2BGBSlZq0i2Q%2BWWWsw%3D%3D&trackingId=2d3OB06r2%2BNR2jwxrrwB6Q%3D%3D
Data Analyst,OIP Insurtech,"Hyderabad, Telangana, India",3 days ago,https://in.linkedin.com/jobs/view/data-analyst-at-oip-insurtech-4341367988?position=4&pageNum=5&refId=TEIKJ%2BGBSlZq0i2Q%2BWWWsw%3D%3D&trackingId=GBaNNe%2Fvkx05iH09ShPYHA%3D%3D
Data Analyst-Data Management and Analytics-Data Ops/Data Analyst,EXL,"Gurugram, Haryana, India",4 days ago,https://in.linkedin.com/jobs/view/data-analyst-data-management-and-analytics-data-ops-data-analyst-at-exl-4335769428?position=5&pageNum=5&refId=TEIKJ%2BGBSlZq0i2Q%2BWWWsw%3D%3D&trackingId=aYeUIzcBHVbHJezqXwwxrg%3D%3D
"Data Analyst (Marketing Analytics, Bangkok Based, Relocation provided)",Agoda,"Pune, Maharashtra, India",1 week ago,https://in.linkedin.com/jobs/view/data-analyst-marketing-analytics-bangkok-based-relocation-provided-at-agoda-4299767576?position=6&pageNum=5&refId=TEIKJ%2BGBSlZq0i2Q%2BWWWsw%3D%3D&trackingId=is5sTRLYnQBzUaZTNfKmzw%3D%3D
Data Analyst I (Advance Excel Skill Required),Nielsen,"Bengaluru East, Karnataka, India",2 days ago,https://in.linkedin.com/jobs/view/data-analyst-i-advance-excel-skill-required-at-nielsen-4323425395?position=7&pageNum=5&refId=TEIKJ%2BGBSlZq0i2Q%2BWWWsw%3D%3D&trackingId=zcslaTqrA%2BVgD9HeNNCMQQ%3D%3D
Associate - Data & Analytics,JPMorganChase,"Bengaluru, Karnataka, India",1 week ago,https://in.linkedin.com/jobs/view/associate-data-analytics-at-jpmorganchase-4335972025?position=8&pageNum=5&refId=TEIKJ%2BGBSlZq0i2Q%2BWWWsw%3D%3D&trackingId=W9isxobWz6zxjQP5k8nYpw%3D%3D
BI Data Analyst,ZeroFox,"Bengaluru, Karnataka, India",2 days ago,https://in.linkedin.com/jobs/view/bi-data-analyst-at-zerofox-4312048636?position=9&pageNum=5&refId=TEIKJ%2BGBSlZq0i2Q%2BWWWsw%3D%3D&trackingId=y%2BL56xzLRB5q2F0FCTu%2Bfg%3D%3D
Analyst- Data Operations,JPMorganChase,"Bengaluru, Karnataka, India",3 days ago,https://in.linkedin.com/jobs/view/analyst-data-operations-at-jpmorganchase-4336822576?position=10&pageNum=5&refId=TEIKJ%2BGBSlZq0i2Q%2BWWWsw%3D%3D&trackingId=LyEMTpzi3wW21FcG2ENM%2BQ%3D%3D
Client Data Analyst,JPMorganChase,"Bengaluru, Karnataka, India",3 days ago,https://in.linkedin.com/jobs/view/client-data-analyst-at-jpmorganchase-4336951985?position=1&pageNum=7&refId=UF6xser21elgnbwNdjmH7w%3D%3D&trackingId=R86QrQurJ58EHkzYRD1FlQ%3D%3D
